id,pid,series_tag,name
kw171930388,171930388,SHELL CORDOVAN,シェルコードバン(ROCADO/MARBLED) ブラウン
kw171930433,171930433,SHELL CORDOVAN,シェルコードバン(ROCADO/MARBLED) ブラック
kw171930430,171930430,SHELL CORDOVAN,シェルコードバン(ROCADO/MARBLED) ブルー
kw171930411,171930411,SHELL CORDOVAN,シェルコードバン(ROCADO/MARBLED) レッド
kw175312214,175312214,SHELL CORDOVAN,シェルコードバン(ROCADO/MUSEUM) グリーン
kw175312185,175312185,SHELL CORDOVAN,シェルコードバン(ROCADO/MUSEUM) コニャック
kw175312202,175312202,SHELL CORDOVAN,シェルコードバン(ROCADO/MUSEUM) バーガンディ
kw175312193,175312193,SHELL CORDOVAN,シェルコードバン(ROCADO/MUSEUM) ブラウン
kw186275867,186275867,SHELL CORDOVAN,シェルコードバン(ROCADO/MUSEUM) ブラック
kw175312220,175312220,SHELL CORDOVAN,シェルコードバン(ROCADO/MUSEUM) ブルー
kw175312207,175312207,SHELL CORDOVAN,シェルコードバン(ROCADO/MUSEUM) レッド
kw179755605,179755605,SHELL CORDOVAN,シェルコードバン(ROCADO/NATURAL) ナチュラル
kw158501313,158501313,SHELL CORDOVAN,シェルコードバン(HORWEEN) #4 チョコ
kw158501354,158501354,SHELL CORDOVAN,シェルコードバン(HORWEEN) #8 バーガンディ
kw158501390,158501390,SHELL CORDOVAN,シェルコードバン(HORWEEN) Dコニャック
kw180263913,180263913,SHELL CORDOVAN,シェルコードバン(HORWEEN) グリーン
kw187307532,187307532,SHELL CORDOVAN,シェルコードバン(HORWEEN) バーボン
kw157331202,157331202,SHELL CORDOVAN,シェルコードバン(HORWEEN) ブラック
kw156838223,156838223,CHROMEXCEL,CHROMEXCEL ティンバー
kw144503079,144503079,CHROMEXCEL,CHROMEXCEL ナチュラル
kw156838098,156838098,CHROMEXCEL,CHROMEXCEL バーガンディ
kw156838252,156838252,CHROMEXCEL,CHROMEXCEL ブラック
kw154473133,154473133,DELOREAN,DELOREAN ブラック
kw155490988,155490988,DELOREAN,DELOREAN ホワイト
kw155504309,155504309,DELOREAN,DELOREAN ライトグレー
kw167124351,167124351,LAUNDERED,LAUNDERED オフホワイト
kw167124375,167124375,LAUNDERED,LAUNDERED ブラック
kw168271857,168271857,DRITTON G8,DRITTON G8 ブラック
kw168270372,168270372,DRITTON G8,DRITTON G8 ホワイト
kw159056848,159056848,DROID,DROID アルパイン
kw159055623,159055623,DROID,DROID アンバー
kw159050897,159050897,DROID,DROID アーモンド
kw159056093,159056093,DROID,DROID ウィスキー
kw159056995,159056995,DROID,DROID エスプレッソ
kw159056917,159056917,DROID,DROID オリーブ
kw159056616,159056616,DROID,DROID オーシャン
kw159056893,159056893,DROID,DROID グリーン
kw159054208,159054208,DROID,DROID コニャック
kw159056956,159056956,DROID,DROID コーラ
kw159050298,159050298,DROID,DROID サンド
kw159050790,159050790,DROID,DROID ストーン
kw159050842,159050842,DROID,DROID ナット
kw159050134,159050134,DROID,DROID パウダー
kw159056300,159056300,DROID,DROID ブラウン
kw157911205,157911205,DROID,DROID ブラック
kw159056366,159056366,DROID,DROID ブリック
kw159056414,159056414,DROID,DROID プラム
kw159050069,159050069,DROID,DROID ホワイト
kw159050762,159050762,DROID,DROID マッシュルーム
kw159056681,159056681,DROID,DROID マリーン
kw159050491,159050491,DROID,DROID ムーンロック
kw159057050,159057050,DROID,DROID モカ
kw159056332,159056332,DROID,DROID レッド
kw159056532,159056532,DROID,DROID ロイヤル
kw159056439,159056439,DROID,DROID ワイン
numer_25,143377638,ヌメ革,生成りヌメ革 2.5-3.0mm
kw152579135,152579135,ヌメ革,生成りヌメ革 3.5-4.0mm
kw158695092,158695092,ヌメ革,生成りヌメベリー 2.5-3.0mm
